CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF;REGIAO
3293;2919926;MADRE DE DEUS;Madre de Deus;BA;NORDESTE
3295;2921054;MATINA;Matina;BA;NORDESTE
3297;2921450;MIRANTE;Mirante;BA;NORDESTE
3299;2922052;MULUNGU DO MORRO;Mulungu do Morro;BA;NORDESTE
3301;2900108;ABAÍRA;Abaíra;BA;NORDESTE
3303;2900207;ABARÉ;Abaré;BA;NORDESTE
3305;2900306;ACAJUTIBA;Acajutiba;BA;NORDESTE
3307;2900405;ÁGUA FRIA;Água Fria;BA;NORDESTE
3309;2900504;ÉRICO CARDOSO;Érico Cardoso;BA;NORDESTE
3311;2900603;AIQUARA;Aiquara;BA;NORDESTE
3313;2900702;ALAGOINHAS;Alagoinhas;BA;NORDESTE
3315;2900801;ALCOBAÇA;Alcobaça;BA;NORDESTE
3317;2900900;ALMADINA;Almadina;BA;NORDESTE
3319;2901007;AMARGOSA;Amargosa;BA;NORDESTE
3321;2901106;AMÉLIA RODRIGUES;Amélia Rodrigues;BA;NORDESTE
3323;2901205;ANAGÉ;Anagé;BA;NORDESTE
3325;2901304;ANDARAÍ;Andaraí;BA;NORDESTE
3327;2901403;ANGICAL;Angical;BA;NORDESTE
3329;2901502;ANGUERA;Anguera;BA;NORDESTE
3331;2901601;ANTAS;Antas;BA;NORDESTE
3333;2901700;ANTÔNIO CARDOSO;Antônio Cardoso;BA;NORDESTE
3335;2901809;ANTÔNIO GONÇALVES;Antônio Gonçalves;BA;NORDESTE
3337;2901908;APORÁ;Aporá;BA;NORDESTE
3339;2902005;ARACATU;Aracatu;BA;NORDESTE
3341;2902104;ARACI;Araci;BA;NORDESTE
3343;2902203;ARAMARI;Aramari;BA;NORDESTE
3345;2902302;ARATUÍPE;Aratuípe;BA;NORDESTE
3347;2902401;AURELINO LEAL;Aurelino Leal;BA;NORDESTE
3349;2902500;BAIANÓPOLIS;Baianópolis;BA;NORDESTE
3351;2902609;BAIXA GRANDE;Baixa Grande;BA;NORDESTE
3353;2902708;BARRA;Barra;BA;NORDESTE
3355;2902807;BARRA DA ESTIVA;Barra da Estiva;BA;NORDESTE
3357;2902906;BARRA DO CHOÇA;Barra do Choça;BA;NORDESTE
3359;2903003;BARRA DO MENDES;Barra do Mendes;BA;NORDESTE
3361;2903102;BARRA DO ROCHA;Barra do Rocha;BA;NORDESTE
3363;2903201;BARREIRAS;Barreiras;BA;NORDESTE
3365;2903300;BARRO PRETO;Barro Preto;BA;NORDESTE
3367;2903409;BELMONTE;Belmonte;BA;NORDESTE
3369;2903508;BELO CAMPO;Belo Campo;BA;NORDESTE
3371;2903607;BIRITINGA;Biritinga;BA;NORDESTE
3373;2903706;BOA NOVA;Boa Nova;BA;NORDESTE
3375;2903805;BOA VISTA DO TUPIM;Boa Vista do Tupim;BA;NORDESTE
3377;2903904;BOM JESUS DA LAPA;Bom Jesus da Lapa;BA;NORDESTE
3379;2904001;BONINAL;Boninal;BA;NORDESTE
3381;2904100;BOQUIRA;Boquira;BA;NORDESTE
3383;2904209;BOTUPORÃ;Botuporã;BA;NORDESTE
3385;2904308;BREJÕES;Brejões;BA;NORDESTE
3387;2904407;BREJOLÂNDIA;Brejolândia;BA;NORDESTE
3389;2904506;BROTAS DE MACAÚBAS;Brotas de Macaúbas;BA;NORDESTE
3391;2904605;BRUMADO;Brumado;BA;NORDESTE
3393;2904704;BUERAREMA;Buerarema;BA;NORDESTE
3395;2904803;CAATIBA;Caatiba;BA;NORDESTE
3397;2904902;CACHOEIRA;Cachoeira;BA;NORDESTE
3399;2905008;CACULÉ;Caculé;BA;NORDESTE
3401;2905107;CAÉM;Caém;BA;NORDESTE
3403;2905206;CAETITÉ;Caetité;BA;NORDESTE
3405;2905305;CAFARNAUM;Cafarnaum;BA;NORDESTE
3407;2905404;CAIRU;Cairu;BA;NORDESTE
3409;2905503;CALDEIRÃO GRANDE;Caldeirão Grande;BA;NORDESTE
3411;2905602;CAMACAN;Camacan;BA;NORDESTE
3413;2905701;CAMAÇARI;Camaçari;BA;NORDESTE
3415;2905800;CAMAMU;Camamu;BA;NORDESTE
3417;2905909;CAMPO ALEGRE DE LOURDES;Campo Alegre de Lourdes;BA;NORDESTE
3419;2906006;CAMPO FORMOSO;Campo Formoso;BA;NORDESTE
3421;2906105;CANÁPOLIS;Canápolis;BA;NORDESTE
3423;2906204;CANARANA;Canarana;BA;NORDESTE
3425;2906303;CANAVIEIRAS;Canavieiras;BA;NORDESTE
3427;2906402;CANDEAL;Candeal;BA;NORDESTE
3429;2906501;CANDEIAS;Candeias;BA;NORDESTE
3431;2906600;CANDIBA;Candiba;BA;NORDESTE
3433;2906709;CÂNDIDO SALES;Cândido Sales;BA;NORDESTE
3435;2906808;CANSANÇÃO;Cansanção;BA;NORDESTE
3437;2906907;CARAVELAS;Caravelas;BA;NORDESTE
3439;2907004;CARDEAL DA SILVA;Cardeal da Silva;BA;NORDESTE
3441;2907103;CARINHANHA;Carinhanha;BA;NORDESTE
3443;2907202;CASA NOVA;Casa Nova;BA;NORDESTE
3445;2907301;CASTRO ALVES;Castro Alves;BA;NORDESTE
3447;2907400;CATOLÂNDIA;Catolândia;BA;NORDESTE
3449;2907509;CATU;Catu;BA;NORDESTE
3451;2907608;CENTRAL;Central;BA;NORDESTE
3453;2907707;CHORROCHÓ;Chorrochó;BA;NORDESTE
3455;2907806;CÍCERO DANTAS;Cícero Dantas;BA;NORDESTE
3457;2907905;CIPÓ;Cipó;BA;NORDESTE
3459;2908002;COARACI;Coaraci;BA;NORDESTE
3461;2908101;COCOS;Cocos;BA;NORDESTE
3463;2908200;CONCEIÇÃO DA FEIRA;Conceição da Feira;BA;NORDESTE
3465;2908309;CONCEIÇÃO DO ALMEIDA;Conceição do Almeida;BA;NORDESTE
3467;2908408;CONCEIÇÃO DO COITÉ;Conceição do Coité;BA;NORDESTE
3469;2908507;CONCEIÇÃO DO JACUÍPE;Conceição do Jacuípe;BA;NORDESTE
3471;2908606;CONDE;Conde;BA;NORDESTE
3473;2908705;CONDEÚBA;Condeúba;BA;NORDESTE
3475;2908804;CONTENDAS DO SINCORÁ;Contendas do Sincorá;BA;NORDESTE
3477;2908903;CORAÇÃO DE MARIA;Coração de Maria;BA;NORDESTE
3479;2909000;CORDEIROS;Cordeiros;BA;NORDESTE
3481;2909109;CORIBE;Coribe;BA;NORDESTE
